muni_id,year,recipient_class,value_dis,n_loans
420770,2002,productive_firm,1459047,19
421420,2002,productive_firm,405148,6
311250,2002,productive_firm,222600,1
230428,2002,productive_firm,6938746,35
110020,2002,productive_firm,6019753,38
230770,2002,productive_firm,105362,3
431780,2002,productive_firm,911642,8
311730,2002,productive_firm,4336132,20
420757,2002,productive_firm,97600,2
432260,2002,productive_firm,3115965,20
330515,2002,productive_firm,81727,2
411190,2002,productive_firm,323222,4
431760,2002,productive_firm,547156,4
411240,2002,productive_firm,21440,1
432120,2002,productive_firm,3548166,21
350210,2002,productive_firm,1203068,11
431265,2002,productive_firm,330944,6
310620,2002,productive_firm,1362272723,493
412215,2002,productive_firm,450000,1
313440,2002,productive_firm,3243235,6
291005,2002,productive_firm,5028911,27
330070,2002,productive_firm,1304425,15
350400,2002,productive_firm,1086604,15
411820,2002,productive_firm,15514951,40
520870,2002,productive_firm,48117010,201
430920,2002,productive_firm,8167952,45
430080,2002,productive_firm,958427,10
412480,2002,productive_firm,46800,1
351870,2002,productive_firm,2688186,15
312230,2002,productive_firm,11989131,42
350320,2002,productive_firm,22972894,75
311530,2002,productive_firm,6893141,20
410430,2002,productive_firm,5931475,23
350960,2002,productive_firm,2652011,5
352440,2002,productive_firm,21084822,44
314430,2002,productive_firm,266142,4
410940,2002,productive_firm,6009942,52
311370,2002,productive_firm,336258,3
420010,2002,productive_firm,684789,9
421970,2002,productive_firm,4515125,37
316100,2002,productive_firm,38250,1
352310,2002,productive_firm,4908734,17
510850,2002,productive_firm,56265,2
310400,2002,productive_firm,6327054,24
351110,2002,productive_firm,8649884,60
351190,2002,productive_firm,3925065,26
420545,2002,productive_firm,1373792,12
411960,2002,productive_firm,1172042,11
230420,2002,productive_firm,5164267,8
354780,2002,productive_firm,12304372,70
412796,2002,productive_firm,588000,4
320060,2002,productive_firm,5215474,10
315110,2002,productive_firm,4298743,4
352940,2002,productive_firm,9898618,47
522140,2002,productive_firm,507344,8
320320,2002,productive_firm,20040256,68
