instrument,office,cnae_section,beta_hat,se,t_stat,p_value,t_sq,w_partial_wald,w_gpss_proj,rank_partial_wald
Z_mayor_coalition_cycle_specific_H,mayor,H,0.0322842025145657,0.0244070637847542,1.32274012143697,0.185976129053098,1.7496414288591,0.0127147911286136,0.000272715333408573,17
Z_gov_coalition_cycle_specific_I,gov,I,0.17177646430749,0.144886967222244,1.18558948124022,0.235835042663188,1.40562241802746,0.0102147760999064,0.00145105259187454,18
Z_mayor_coalition_cycle_specific_F,mayor,F,-0.0618028486923311,0.052753198415081,-1.17154694974216,0.241429117809907,1.37252225545016,0.00997423444002585,0.000522069098009293,19
Z_gov_coalition_cycle_specific_C,gov,C,0.0452602864869033,0.0424966657272818,1.06503147275969,0.286907860917984,1.13429203796868,0.00824299545251722,0.000382328605263658,20
Z_pres_coalition_cycle_specific_K,pres,K,0.163236744093029,0.158638476258048,1.02898582956319,0.303531021763866,1.05881183744185,0.00769447449947239,0.00137891475156542,21
Z_gov_coalition_cycle_specific_D,gov,D,2.82461037913412,2.80333468435155,1.00758942373215,0.313695384468686,1.01523644681688,0.00737780847807763,0.0238604178296594,22
Z_pres_coalition_cycle_specific_R,pres,R,0.120492835358,0.120000557133593,1.00410229949065,0.315372932677468,1.00822142784242,0.00732682974634872,0.00101784282121188,23
Z_pres_coalition_cycle_specific_B,pres,B,0.30327368683444,0.307569234444302,0.986033883988355,0.324159322411353,0.972262820373161,0.00706551552750016,0.00256185311010196,24
Z_mayor_coalition_cycle_specific_L,mayor,L,0.591861028468276,0.618584175806387,0.956799497330699,0.338709998558692,0.915465278092278,0.00665276302015302,0.00499964580625596,25
Z_mayor_coalition_cycle_specific_E,mayor,E,-0.416531804879828,0.478747138323197,-0.87004552411263,0.384313025129164,0.75697921402842,0.00550103148926326,0.00351858188201571,26
Z_pres_coalition_cycle_specific_I,pres,I,-0.0771381405883829,0.0933796581083933,-0.826070068695717,0.408799733018432,0.682391758394946,0.00495899818829555,0.000651611379267834,27
Z_pres_coalition_cycle_specific_L,pres,L,0.609209275227664,0.743421422424827,0.819466936049003,0.412555126771927,0.671526059277541,0.00488003624074138,0.00514619218282842,28
Z_gov_coalition_cycle_specific_K,gov,K,-0.176371306895248,0.218569658811855,-0.806934081582975,0.419738921960955,0.651142612020159,0.00473190801853318,0.00148986674649753,29
Z_mayor_coalition_cycle_specific_Q,mayor,Q,-0.233239246818191,0.302200794520364,-0.771802229005965,0.440264319630587,0.595678680698576,0.00432884697397072,0.00197024903840475,30
Z_pres_coalition_cycle_specific_F,pres,F,0.0612297372478321,0.0899211135131457,0.68092725785564,0.495945829994784,0.463661930490801,0.00336947016871025,0.000517227836138373,31
Z_gov_coalition_cycle_specific_L,gov,L,0.557417051645949,0.85381900148566,0.652851541926372,0.513878940257943,0.426215135795641,0.00309734116837244,0.00470868614514059,32
Z_mayor_coalition_cycle_specific_D,mayor,D,-1.12584800508142,1.79831146521155,-0.626058403597498,0.531302292075481,0.391949124715048,0.00284832718955702,0.00951041036044272,33
Z_mayor_coalition_cycle_specific_M,mayor,M,0.108026934505564,0.17758120987232,0.608324127216133,0.542997330853216,0.370058243753271,0.00268924432008482,0.000912539234862601,34
Z_gov_coalition_cycle_specific_O,gov,O,-18.4207304078723,35.6085801449244,-0.517311567405981,0.60495922602771,0.267611257772033,0.00194475347354786,0.155606000567796,35
Z_mayor_coalition_cycle_specific_R,mayor,R,-0.124867762251147,0.27117306398796,-0.460472586822603,0.645195022811081,0.212035003215099,0.00154087616660569,0.00105479927524739,36
Z_gov_coalition_cycle_specific_S,gov,S,-0.252094083968676,0.563051178499339,-0.447728543328094,0.654366534309491,0.200460848510697,0.00145676581283297,0.00212952208216474,37
Z_gov_coalition_cycle_specific_M,gov,M,-0.0365667390146878,0.0858770137418207,-0.425803569796005,0.67026744034092,0.181308680051021,0.00131758539700137,0.00030889133524533,38
Z_gov_coalition_cycle_specific_N,gov,N,0.0404747800942687,0.0983300397941234,0.411621719863147,0.680632549920448,0.169432440263095,0.00123127976556964,0.000341903850437907,39
Z_pres_coalition_cycle_specific_N,pres,N,0.0515002733825116,0.137932475296394,0.373373081805761,0.708885002494858,0.139407458217131,0.00101308570074131,0.000435039837821846,40
Z_pres_coalition_cycle_specific_Q,pres,Q,-0.0847595695613239,0.229919743565914,-0.368648504242197,0.712403749966035,0.135901719680009,0.000987609204519971,0.000715992109826924,41
Z_gov_coalition_cycle_specific_A,gov,A,-0.0380848987426814,0.110009234445367,-0.346197289115718,0.729207530171796,0.119852562991072,0.00087097863569348,0.000321715732447041,42
