row_type,ref_election,state_id,state_gov_shock_mag,state_gov_shock_signed,n_munis,state_pre_dlog_gdp,n_muni_yr,cor_signed
state_cycle_cell,2008,26,0.00289794633374454,-0.00126554398074191,185,0.0705517116272231,555,
state_cycle_cell,2008,27,0.00341549196062206,0.000502248647748347,102,0.0580906485172269,306,
state_cycle_cell,2008,28,0.00383550138474582,0.000159598930068168,75,0.0728810391700876,225,
state_cycle_cell,2008,29,0.00368112315008035,-0.000791395576982532,417,0.0645511679490289,1251,
state_cycle_cell,2008,31,0.00144430612609527,0.00108954536446234,853,0.0564642293148134,2559,
state_cycle_cell,2008,32,0.003182157717607,0.00206389656972901,78,0.09869000661518,234,
state_cycle_cell,2008,33,0.00111066448210192,0.000808242425180872,92,0.0338936924903903,276,
state_cycle_cell,2008,35,0.000349973869734148,0.000349973869734148,645,0.0718547298085093,1935,
state_cycle_cell,2008,41,0.000374386739392672,-0.000258459149004936,399,0.0166529833130515,1197,
state_cycle_cell,2008,42,0.00262574562718449,0.00221289563406019,295,0.0474185400643151,879,
state_cycle_cell,2008,43,0.00327789892977443,-0.000634656236723895,497,0.0284606097530641,1488,
state_cycle_cell,2008,50,0.00471441384422468,0.00396579175080597,79,0.0201469010658742,233,
state_cycle_cell,2008,51,0.00172184826474681,0.00169812004152516,141,-0.0141403623419462,421,
state_cycle_cell,2008,52,0.00121671083755011,-0.000749042744784695,246,0.0381693146614319,738,
state_cycle_cell,2008,53,0.000438740035889543,0.000438740035889543,1,0.0626373428195362,3,
state_cycle_cell,2012,11,0.00112470724258149,-0.000390057951499218,52,0.0490238064096407,156,
state_cycle_cell,2012,12,0.000232902587018422,-0.000168502143863929,22,0.0699599146049751,66,
state_cycle_cell,2012,13,0.000598466724430903,0.000359224503411072,62,0.147847553189076,186,
state_cycle_cell,2012,14,0.00245332097559478,-0.000696851416899944,15,0.0844380005917429,45,
state_cycle_cell,2012,15,0.00131465674423722,-0.000419734818002452,144,0.0892803305928171,429,
state_cycle_cell,2012,16,0.00175348207900137,-0.00173563747077998,16,0.0671418424937547,48,
state_cycle_cell,2012,17,0.0019750804748849,-0.000377394470774818,139,0.0722494871973013,417,
state_cycle_cell,2012,21,0.00106147246764063,0.000470821123969925,217,0.0569492594228493,650,
state_cycle_cell,2012,22,0.000825769251189762,-9.56090367004195e-05,224,0.0811871068539376,671,
state_cycle_cell,2012,23,0.000776284373591013,-0.000156432287142997,184,0.0708227298609307,552,
state_cycle_cell,2012,24,0.00198860269638972,-0.00036950877214232,167,0.0585232766072991,501,
state_cycle_cell,2012,25,0.00190598487826413,-0.00124749092689055,223,0.0464857552342929,669,
state_cycle_cell,2012,26,0.000886859801343586,0.00050822097929355,185,0.0809395045692204,555,
state_cycle_cell,2012,27,0.00109006041999197,0.000154047157748398,102,0.0303321699589588,306,
state_cycle_cell,2012,28,0.00134586438545306,0.000544316569885774,75,0.0306996271529327,225,
state_cycle_cell,2012,29,0.00114211220458776,-0.000603339217261953,417,0.0657474999310863,1251,
state_cycle_cell,2012,31,0.000431588255045401,3.36392907990173e-05,853,0.0686039779299659,2559,
state_cycle_cell,2012,32,0.00160686026544145,0.000695868134077628,78,0.0904325827769959,234,
state_cycle_cell,2012,33,0.000849829778564151,0.000608468822389343,92,0.0481945388922351,276,
state_cycle_cell,2012,35,0.000876848344883377,0.000335451039278959,645,0.0535781117052114,1935,
state_cycle_cell,2012,41,0.00259123225900801,0.00115058965661539,399,0.0469318726007465,1197,
state_cycle_cell,2012,42,0.000106945599591137,-9.2774627485162e-05,295,0.0513136910615532,879,
state_cycle_cell,2012,43,0.00174228830967664,-0.000769250221160784,498,0.0450473397817408,1488,
state_cycle_cell,2012,50,0.000982933164581536,-0.000544363372173186,79,0.0704653021989475,234,
state_cycle_cell,2012,51,0.00170645246839432,-0.00142594250941974,141,0.0729845487688673,423,
state_cycle_cell,2012,52,0.00137643647722897,-0.000630106930947376,246,0.070847196606554,738,
state_cycle_cell,2012,53,8.83026793101254e-05,7.15967670082098e-06,1,0.0587676698143878,3,
state_cycle_cell,2016,11,0.000845014966299824,0.000298792062045296,52,0.00579320280976785,156,
