spec_id,weight_id,tier_spec,K,controls,f_stat,p_value,df1,df2,n_obs,n_clusters,r2,sig_marker,reject_05,status,note
owner_legacy__gov__C2_FE_R0a,owner_legacy,gov,4,C2_FE_R0a,12.8239837488319,1.95011264945967e-10,4,83419,89009,5570,0.00238592530789661,***,TRUE,ok,""
owner_legacy__gov__C3_FE_R0b,owner_legacy,gov,4,C3_FE_R0b,17.1159645235725,4.85232593162459e-14,4,83416,89009,5570,0.00362472894739085,***,TRUE,ok,""
owner_legacy__mayor_gov__none,owner_legacy,mayor_gov,8,none,73.1328417118584,9.71290563095525e-121,8,89000,89009,5570,0.0261237391961351,***,TRUE,ok,""
owner_legacy__mayor_gov__C1_FE,owner_legacy,mayor_gov,8,C1_FE,4.61749383566836,1.18395725277015e-05,8,83416,89009,5570,0.000991803426957039,***,TRUE,ok,""
owner_legacy__mayor_gov__C2_FE_R0a,owner_legacy,mayor_gov,8,C2_FE_R0a,7.03342136567051,2.52115639416127e-09,8,83414,89009,5570,0.0029764956243693,***,TRUE,ok,""
owner_legacy__mayor_gov__C3_FE_R0b,owner_legacy,mayor_gov,8,C3_FE_R0b,8.96425500559753,2.26731259729111e-12,8,83408,89009,5570,0.00436555515936321,***,TRUE,ok,""
owner_legacy__mayor_pres__none,owner_legacy,mayor_pres,8,none,66.7689647555307,7.17813573340292e-110,8,89000,89009,5570,0.0246889009525667,***,TRUE,ok,""
owner_legacy__mayor_pres__C1_FE,owner_legacy,mayor_pres,8,C1_FE,2.90549975531475,0.00306752530769208,8,83416,89009,5570,0.000709245525492785,***,TRUE,ok,""
owner_legacy__mayor_pres__C2_FE_R0a,owner_legacy,mayor_pres,8,C2_FE_R0a,1.85328464284566,0.0626287926310304,8,83414,89009,5570,0.00206209619575326,*,FALSE,ok,""
owner_legacy__mayor_pres__C3_FE_R0b,owner_legacy,mayor_pres,8,C3_FE_R0b,1.09275066287655,0.364538085709167,8,83408,89009,5570,0.00287176436094461,"",FALSE,ok,""
owner_legacy__mayor_gov_pres__none,owner_legacy,mayor_gov_pres,12,none,52.2153925834647,6.42749094574411e-126,12,88996,89009,5570,0.0292596205009661,***,TRUE,ok,""
owner_legacy__mayor_gov_pres__C1_FE,owner_legacy,mayor_gov_pres,12,C1_FE,3.84678017087331,6.53387128568888e-06,12,83412,89009,5570,0.00123359327293249,***,TRUE,ok,""
owner_legacy__mayor_gov_pres__C2_FE_R0a,owner_legacy,mayor_gov_pres,12,C2_FE_R0a,5.84806550244553,3.00063476022076e-10,12,83410,89009,5570,0.00337038964095515,***,TRUE,ok,""
owner_legacy__mayor_gov_pres__C3_FE_R0b,owner_legacy,mayor_gov_pres,12,C3_FE_R0b,6.51737582325449,9.18161517200257e-12,12,83404,89009,5570,0.00456234236454867,***,TRUE,ok,""
