margin,denom,bin,n_obs,n_munis,n_munis_with_sigma,mean_share_overall,total_var,between_muni_var,within_muni_var,share_within,p10_sigma_within,med_sigma_within,p90_sigma_within
cnae_section,V1,P,51706,5290,5042,0.0026931446076691,0.00122941074924306,0.000323086926575472,0.00107421396900322,0.873763280225593,0,0,0.00802653458722512
cnae_section,V1,Q,51706,5290,5042,0.00239209208381143,0.000931527269720893,0.000110670934430454,0.000824025498769364,0.884596216937655,0,0,0.0054164472143201
cnae_section,V1,R,51706,5290,5042,0.00292540269529331,0.00197287451483056,0.000225184218586584,0.00172698369364719,0.875364185945454,0,0,0.00163605714183261
cnae_section,V1,S,51706,5290,5042,0.00190828492639695,0.00110451984215295,0.000184508441363608,0.000948994040314073,0.859191482213916,0,0,0.00157550544807233
cnae_section,V1,T,,,,,,,,,,,
cnae_section,V1,U,,,,,,,,,,,
cnae_section,V2,A,51842,5291,5045,0.0582197850687378,0.0388128809611381,0.0181169205316701,0.0232991864206458,0.600295207252831,0,0,0.345183781071583
cnae_section,V2,B,51842,5291,5045,0.0230279056670227,0.0142589255608896,0.00767516303955114,0.00894652778646858,0.62743351511756,0,0,0.128921816830479
cnae_section,V2,C,51842,5291,5045,0.261916483669941,0.120547026401407,0.0544229145099687,0.07029145380257,0.583104004312045,0,0.237903706554645,0.436101187308983
cnae_section,V2,D,51842,5291,5045,0.00586952372630549,0.00464607566334651,0.00125242178753957,0.00375413949941349,0.808023754117992,0,0,0
cnae_section,V2,E,51842,5291,5045,0.00764807540726763,0.00422503847416488,0.000974131737791154,0.00343847741325606,0.813833396851068,0,0,0.0234749116402907
cnae_section,V2,F,51842,5291,5045,0.0397551545643194,0.0203165689829134,0.00847548290643151,0.0147682509520389,0.726906741214978,0,0.00159789196702261,0.253803813331618
cnae_section,V2,G,51842,5291,5045,0.312272618926921,0.140417289989204,0.0908928540715059,0.080947163609608,0.576475757478524,0.0100487009711907,0.308653417790661,0.49411423641817
cnae_section,V2,H,51842,5291,5045,0.210073298742009,0.0951624110406317,0.0358924567969411,0.0659507050940572,0.693033145890956,0,0.222879336371674,0.427467514111699
cnae_section,V2,I,51842,5291,5045,0.00586447872063387,0.00320458314897679,0.000841311132063348,0.00265684581697192,0.829076885653674,0,0,0.0258926539122344
cnae_section,V2,J,51842,5291,5045,0.0317168076489442,0.0202503339476255,0.00337708024976833,0.0173273317458507,0.855656592659921,0,0,0.25708435690603
cnae_section,V2,K,51842,5291,5045,0.00675913301606334,0.00456655413223266,0.00112964009643933,0.00380782995350574,0.833851924940181,0,0,0.0258620524885211
cnae_section,V2,L,51842,5291,5045,0.00171599364811999,0.00101516989367468,0.000407800906049067,0.000844819863459259,0.83219554551722,0,0,0
cnae_section,V2,M,51842,5291,5045,0.00612312228039493,0.00342132115035994,0.000708719084275881,0.00284292685726586,0.830944168151758,0,0,0.019459676670449
cnae_section,V2,N,51842,5291,5045,0.019132383612102,0.00996699025253498,0.00500712011701006,0.00725676314773223,0.728079687434887,0,0,0.132956317949683
cnae_section,V2,O,51842,5291,5045,9.28488639661358e-07,1.10489096258149e-08,5.90983202842698e-10,1.00843546450148e-08,0.912701342171671,0,0,0
cnae_section,V2,P,51842,5291,5045,0.00267558914906056,0.00122521389123717,0.000321537700647191,0.00107143560942191,0.874488623647596,0,0,0.00798630557555434
cnae_section,V2,Q,51842,5291,5045,0.00236423303256714,0.00092054705001665,0.000110179338507889,0.000814029617534843,0.88428898611985,0,0,0.00539054275849093
cnae_section,V2,R,51842,5291,5045,0.00291356441032389,0.00196499467110038,0.000223075452666021,0.0017210688222951,0.875864371342705,0,0,0.00162276318039671
cnae_section,V2,S,51842,5291,5045,0.00187911980717753,0.0010764782476758,0.000181936534721555,0.000923682823968825,0.858059905960133,0,0,0.00154278948958016
cnae_section,V2,T,51842,5291,5045,7.02402346054973e-06,7.07732154373845e-07,3.20719961405131e-08,6.5692891766293e-07,0.928216859447537,0,0,0
cnae_section,V2,U,51842,5291,5045,6.47763899880208e-05,3.50630640570445e-05,5.0685921052e-06,3.03898667021487e-05,0.86672022310164,0,0,0
policy_block,V1,Agro,51706,5290,5042,0.0587991682243287,0.0393546480954216,0.0185208129750744,0.0234883379081661,0.596837706469003,0,0,0.348356688435468
policy_block,V1,Ind,51706,5290,5042,0.286823855815488,0.127766199379551,0.0605198077269249,0.073846490787274,0.577981431285286,0,0.256723413991027,0.447213595499958
policy_block,V1,Infra,51706,5290,5042,0.26528194233002,0.113163428251953,0.0439498520500743,0.0792651560539356,0.700448521915189,0,0.278467543946425,0.450150145092354
policy_block,V1,Serv,51706,5290,5042,0.389095033630163,0.150732258932314,0.0861575417238526,0.0931680953824501,0.618103225164873,0,0.328684585590032,0.492315243511235
policy_block,V1,XX,,,,,,,,,,,
policy_block,V2,Agro,51842,5291,5045,0.0582197850687378,0.0388128809611381,0.0181169205316701,0.0232991864206458,0.600295207252831,0,0,0.345183781071583
policy_block,V2,Ind,51842,5291,5045,0.284944389336964,0.12710788344177,0.0599970181146208,0.0735698285631424,0.578798313456663,0,0.256060995036124,0.446696951030837
policy_block,V2,Infra,51842,5291,5045,0.263346052439902,0.112410916382226,0.0435644159955767,0.0787747132724337,0.700774584957383,0,0.277340416746146,0.447394091703652
policy_block,V2,Serv,51842,5291,5045,0.386657911236245,0.150311595830781,0.085662726963498,0.0932598871168934,0.620443729583473,0,0.3289749646476,0.4924324704244
policy_block,V2,XX,51842,5291,5045,0.00683186191815157,0.00460154398160332,0.00113389388682935,0.00383899559057136,0.834284232839981,0,0,0.0268100230451707
policy_block_active,V1,Agro,51706,5290,5042,0.0587991682243287,0.0393546480954216,0.0185208129750744,0.0234883379081661,0.596837706469003,0,0,0.348356688435468
policy_block_active,V1,Ind,51706,5290,5042,0.286823855815488,0.127766199379551,0.0605198077269249,0.073846490787274,0.577981431285286,0,0.256723413991027,0.447213595499958
policy_block_active,V1,Infra,51706,5290,5042,0.26528194233002,0.113163428251953,0.0439498520500743,0.0792651560539356,0.700448521915189,0,0.278467543946425,0.450150145092354
policy_block_active,V1,Serv,51706,5290,5042,0.389095033630163,0.150732258932314,0.0861575417238526,0.0931680953824501,0.618103225164873,0,0.328684585590032,0.492315243511235
policy_block_active,V2,Agro,51842,5291,5045,0.0582197850687378,0.0388128809611381,0.0181169205316701,0.0232991864206458,0.600295207252831,0,0,0.345183781071583
policy_block_active,V2,Ind,51842,5291,5045,0.284944389336964,0.12710788344177,0.0599970181146208,0.0735698285631424,0.578798313456663,0,0.256060995036124,0.446696951030837
policy_block_active,V2,Infra,51842,5291,5045,0.263346052439902,0.112410916382226,0.0435644159955767,0.0787747132724337,0.700774584957383,0,0.277340416746146,0.447394091703652
policy_block_active,V2,Serv,51842,5291,5045,0.386657911236245,0.150311595830781,0.085662726963498,0.0932598871168934,0.620443729583473,0,0.3289749646476,0.4924324704244
