outcome,model_type,spec,shift,channel,term,estimate,std_error,t_value,p_value
emp_share_active_jmt,per_channel,BASE,DIF,MP,Z_single,0.0110170223371475,0.0054500191198657,2.02146489669911,0.136463033785919
emp_share_active_jmt,per_channel,BASE,LEV,M,Z_single,-0.00373274338300551,0.00254700251376865,-1.46554365880165,0.23901938243715
emp_share_active_jmt,per_channel,BASE,LEV,MG,Z_single,-0.00671263397812581,1e-06,-6712.63397812581,7.29107911119565e-12
emp_share_active_jmt,per_channel,BASE,LEV,MGP,Z_single,-0.00817037200140042,0.00386878805894763,-2.11186859474098,0.125144714280594
emp_share_active_jmt,per_channel,BASE,LEV,MP,Z_single,-0.00242994646924489,0.0108658761802182,-0.223630973604201,0.837407703459619
emp_share_active_jmt,per_channel,VAR-A,DIF,M,Z_single,-0.00296953611332893,0.0332578318622919,-0.0892883253972974,0.934479695109428
emp_share_active_jmt,per_channel,VAR-A,DIF,MG,Z_single,-0.0058864210244763,1e-06,-5886.42102447631,1.08122663577587e-11
emp_share_active_jmt,per_channel,VAR-A,DIF,MGP,Z_single,0.0368758432021819,0.00388168687466105,9.49995308557749,0.0024731377627711
emp_share_active_jmt,per_channel,VAR-A,DIF,MP,Z_single,0.04850384616419,0.0207841741680722,2.33369128703221,0.10180476634852
emp_share_active_jmt,per_channel,VAR-A,LEV,M,Z_single,-0.0624250393058672,0.0249203328241961,-2.50498417281395,0.0873222921522008
emp_share_active_jmt,per_channel,VAR-A,LEV,MG,Z_single,-0.0604051076038094,0.0103840896240994,-5.81708265148454,0.0101152901608013
emp_share_active_jmt,per_channel,VAR-A,LEV,MGP,Z_single,-0.121790992472316,1e-06,-121790.992472316,1.22074579578203e-15
emp_share_active_jmt,per_channel,VAR-A,LEV,MP,Z_single,-0.133206688511119,0.0216408903377976,-6.15532385368003,0.00862816430206293
emp_share_active_jmt,per_channel,VAR-B,DIF,M,Z_single,0.00902638291842956,0.0134851651956023,0.669356495638123,0.551175920803475
emp_share_active_jmt,per_channel,VAR-B,DIF,MG,Z_single,-0.00723866643539808,0.00289904399252884,-2.49691500165328,0.0879455865307877
emp_share_active_jmt,per_channel,VAR-B,DIF,MGP,Z_single,0.0126750524559509,0.00498606158500972,2.54209705192123,0.084524394674044
emp_share_active_jmt,per_channel,VAR-B,DIF,MP,Z_single,0.00876116321222441,0.00964833694245872,0.908049051818434,0.430796485746884
emp_share_active_jmt,per_channel,VAR-B,LEV,M,Z_single,0.0186062044647002,0.00505012223231266,3.68430774717696,0.0346532915741118
emp_share_active_jmt,per_channel,VAR-B,LEV,MG,Z_single,0.0143338410012244,0.00638684938934843,2.24427415262514,0.110522726644261
emp_share_active_jmt,per_channel,VAR-B,LEV,MGP,Z_single,0.00425245365804265,0.0100180445086281,0.42447941356022,0.699818265060733
emp_share_active_jmt,per_channel,VAR-B,LEV,MP,Z_single,0.00960472037022205,0.0097499074853179,0.9851088725391,0.397205608642468
emp_share_jmt,joint_channel,BASE,DIF,ALL,Z_M,-0.00712963868991196,0.0123110655394014,-0.579124419985716,0.603125561250692
